sleep_hours,woke_up_on_time,coffee,breakfast,exercise,work_stress,workload,weather,social_interaction,screen_time,study_hours,productive_day,bad_event,good_event,music,outside_time,sleep_quality,mood
7,1,2,1,0,Low,Light,Windy,1,4.5,2.1,1,1,1,1,1.5,Fair,Happy
7,1,1,1,0,High,Moderate,Sunny,1,3.3,5.9,1,0,1,1,2.1,Poor,Calm
8,1,1,1,0,Medium,Moderate,Rainy,0,3.4,2.7,1,0,1,1,2.4,Poor,Calm
8,1,2,1,1,Medium,Moderate,Snowy,1,4.6,4.2,1,0,1,1,1.7,Good,Happy
4,1,3,0,0,Medium,Heavy,Rainy,1,9.6,1.6,0,1,1,1,0.1,Poor,Sad
8,1,1,1,1,Medium,Moderate,Sunny,1,2.1,4.8,1,0,1,1,3.2,Good,Happy
7,1,1,1,0,High,Moderate,Cloudy,1,4.2,3.2,1,0,1,1,2.0,Excellent,Happy
4,0,0,0,0,Low,Moderate,Cloudy,0,7.7,1.2,0,1,0,0,0.3,Poor,Sad
8,1,2,1,1,Medium,Light,Snowy,1,5.4,3.6,1,0,1,1,2.7,Good,Happy
9,1,1,1,0,Medium,Moderate,Snowy,1,4.9,5.2,1,0,1,1,3.1,Good,Happy
9,1,2,0,1,Low,Moderate,Rainy,1,4.6,2.8,1,0,1,1,1.4,Excellent,Happy
4,0,3,1,1,Medium,Moderate,Rainy,1,9.3,1.0,0,1,1,1,1.2,Fair,Sad
7,1,1,1,1,Low,Moderate,Snowy,0,2.1,4.0,1,0,1,1,2.8,Good,Happy
8,1,2,1,1,Low,Heavy,Sunny,1,4.3,4.7,1,1,1,1,2.4,Excellent,Happy
8,1,1,1,1,High,Moderate,Cloudy,1,5.4,2.3,1,0,0,1,2.2,Good,Happy
9,1,2,1,1,Low,Moderate,Sunny,1,5.0,2.5,1,0,1,1,2.0,Good,Calm
6,0,0,0,0,Medium,Light,Windy,0,7.9,1.1,0,1,0,0,1.5,Good,Sad
5,1,1,1,0,High,Moderate,Snowy,0,9.2,0.5,0,0,1,0,0.2,Excellent,Sad
7,0,3,1,0,Medium,Light,Cloudy,1,5.3,2.3,0,0,0,0,0.3,Excellent,Sad
9,1,1,1,0,Low,Moderate,Sunny,0,2.2,2.2,1,1,1,1,1.2,Good,Happy
5,1,1,1,0,Low,Moderate,Rainy,1,9.3,1.6,0,0,0,1,0.0,Fair,Sad
8,1,1,1,1,High,Moderate,Snowy,1,2.7,2.3,1,0,0,0,2.7,Fair,Happy
8,1,1,1,0,Medium,Moderate,Windy,1,4.8,3.1,1,0,1,1,3.5,Good,Happy
9,1,1,1,1,Medium,Moderate,Sunny,1,3.7,3.6,1,0,0,0,3.4,Excellent,Happy
9,1,1,1,0,Low,Moderate,Cloudy,1,5.3,5.1,1,0,1,1,3.5,Fair,Calm
9,0,2,1,1,Medium,Heavy,Sunny,1,3.4,5.6,1,0,1,1,2.5,Excellent,Calm
6,1,3,0,1,Medium,Moderate,Rainy,0,6.7,1.1,0,0,0,1,1.1,Good,Sad
9,1,2,1,1,Low,Moderate,Sunny,1,5.4,4.2,1,0,0,1,3.3,Good,Calm
6,1,1,0,1,High,Moderate,Rainy,1,9.8,0.1,0,0,0,1,0.3,Fair,Annoyed
7,0,0,0,0,Low,Moderate,Cloudy,1,6.4,0.3,0,0,1,1,0.9,Excellent,Annoyed
9,0,1,1,1,Low,Heavy,Sunny,1,3.4,5.3,1,0,0,0,1.3,Poor,Happy
7,1,2,1,1,Medium,Moderate,Sunny,1,2.7,3.0,1,0,1,1,2.9,Poor,Happy
5,0,1,1,0,High,Heavy,Sunny,1,7.9,1.2,0,0,1,1,1.2,Excellent,Sad
8,1,2,1,0,Medium,Moderate,Sunny,1,3.0,4.1,1,0,1,1,3.1,Excellent,Happy
5,0,0,0,0,Medium,Heavy,Cloudy,1,7.0,1.7,0,0,1,1,1.3,Fair,Sad
9,0,1,1,1,Low,Moderate,Cloudy,1,5.1,2.5,1,0,1,0,2.2,Good,Happy
7,0,1,1,0,High,Heavy,Cloudy,1,6.2,1.9,0,1,1,0,0.2,Poor,Sad
9,1,1,1,1,Low,Light,Rainy,0,4.0,5.4,1,0,1,1,1.9,Good,Happy
8,0,1,1,1,Medium,Moderate,Sunny,1,5.1,4.4,1,0,1,1,3.3,Poor,Happy
8,1,2,1,0,Medium,Light,Sunny,1,5.5,5.6,1,0,1,0,3.4,Good,Calm
8,1,2,1,1,Low,Heavy,Rainy,0,4.6,4.1,1,0,1,0,2.3,Excellent,Happy
8,1,2,1,1,Low,Moderate,Sunny,0,2.0,2.5,1,0,1,1,1.3,Excellent,Calm
